,mun_name,year,TOTAL_TAX_SUM,5yr_growth,10yr_growth,15yr_growth,20yr_growth
0,VILLE DE PARIS,2022,2115451734.0,13.496936702779436,13.496936702779436,13.496936702779436,13.496936702779436
1,MARSEILLE,2022,814933029.0,6.439912604997236,26.716785848673748,47.364320809044315,107.16673987456271
2,TOULOUSE,2022,670602183.0,27.556173213361962,66.32275873408783,73.07860002477447,108.48582776342323
3,LYON,2022,608221968.0,0.4484053370144984,42.12430930185616,51.43989903262556,106.0509803884901
4,NICE,2022,472095847.0,19.524723743298757,30.06674367130116,61.657111047095256,84.23767137176198
5,BORDEAUX,2022,367324321.0,23.935472539964806,45.278919964632124,42.82221574754266,72.08394001437671
6,NANTES,2022,359043977.0,17.45305408873714,44.65660305296748,50.228844355867054,80.30164255216658
7,MONTPELLIER,2022,340468998.0,21.624748526866043,29.9255201776621,65.9368523395703,108.16574622840092
8,SAINT DENIS,2022,333688871.0,38.52626304972232,66.28838128748706,288.90720749158396,141.38506945141202
9,STRASBOURG,2022,293323171.0,20.687047575042346,38.10698344735166,21.02487927246894,38.31806224657652
10,LILLE,2022,251085753.0,13.24326247229842,31.244048403293412,19.60451245653313,36.20623518849447
11,RENNES,2022,223960115.0,7.653679502191875,18.536371789403848,46.2792905742823,89.06361506194996
12,GRENOBLE,2022,210885198.0,15.583275735863603,24.170031121702202,35.47960554435334,45.626942717940835
13,CANNES,2022,191134725.0,50.908775953853834,62.15106114187581,81.63437014728898,110.69644913882809
14,DIJON,2022,179905045.0,24.126074996361705,42.88279988555083,53.033546385953,88.54445353196006
15,CLERMONT-FERRAND,2022,179535337.0,20.746874122277433,44.03294225001858,51.918686207873854,86.06521188164083
16,NIMES,2022,177114102.0,17.703537089801028,27.31086547589282,38.49858128063656,69.80783626558657
17,LE HAVRE,2022,175624965.0,21.19075305502714,30.186039278527616,35.15393225990449,49.06919562992945
18,REIMS,2022,174494557.0,5.257676356051609,13.041370389705213,3.696666130794706,37.0062935117001
19,COURBEVOIE,2022,172646907.0,58.41474129666069,98.04997749084113,138.73483536487205,145.43156740652472
20,BOULOGNE BILLANCOURT,2022,172628809.0,41.9097804668582,59.84070097135539,59.84070097135539,63.60670885960181
21,AIX EN PROVENCE,2022,167438339.0,32.782199528978545,49.636179577422304,49.636179577422304,101.69353784310135
22,SAINT ETIENNE,2022,163251231.0,9.468278192973651,11.142513617578482,11.142513617578482,36.70082838570083
23,PERPIGNAN,2022,161566638.0,25.562697268759827,40.56390169940917,83.99111020999611,136.86627533438468
24,TOULON,2022,158829113.0,8.375863403862853,13.424127129768046,30.04853368292618,48.78697144568816
25,ANGERS,2022,151168601.0,13.396364852613592,23.014325788387573,52.55932109192148,61.0058284926228
26,MONTREUIL SOUS BOIS,2022,149868134.0,37.34827807269895,50.60655946713295,50.60655946713295,166.13631356678493
27,AMIENS,2022,144726862.0,20.76745816447107,29.31723647157172,25.65718426211443,45.78221884340651
28,PUTEAUX,2022,144593356.0,75.9865986984767,85.02601871996548,82.4463505482361,69.98459593704276
29,NANTERRE,2022,142733470.0,58.62072514035921,80.77670794404582,49.322367237512765,47.07601888446031
30,ROUEN,2022,137573020.0,34.338402481068506,47.744452877099775,46.50077425295989,88.11436478782049
31,LEVALLOIS-PERRET,2022,136465247.0,31.80288598009063,73.39022463856338,57.99794476265693,64.88946716530019
32,ORLEANS,2022,131827405.0,24.58027396254663,31.686303126200276,33.45338232679616,56.02984857799896
33,ANTIBES,2022,129021217.0,37.450609280140384,50.549644543063266,104.07826363967668,132.8235840595197
34,LE MANS,2022,128647106.0,1.5242642728550642,14.118459026754953,40.996637727200124,61.620546947541065
35,LIMOGES,2022,128304622.0,11.168872942723207,24.036184624313055,26.44324342691774,47.61571415411241
36,TOURS,2022,127795761.0,17.494678270696053,28.92653567719865,40.9202780927883,61.34005592398475
37,BESANCON,2022,126681857.0,11.30736375896784,21.06962721336964,38.8499790823841,64.6493671691401
38,NEUILLY SUR SEINE,2022,126602796.0,64.3578588746318,99.22754921913338,99.22754921913338,218.37090039563876
39,BREST,2022,124077372.0,0.7585890578580854,8.164972965899041,21.353931297803623,28.505419453866498
40,TREMBLAY EN FRANCE,2022,121298297.0,77.87279335840354,95.2363355341107,95.2363355341107,107.2050972691266
41,VILLEURBANNE,2022,119278240.0,-7.310794142885145,27.349238692177902,25.885958725429344,86.35694543585608
42,NANCY,2022,115930420.0,8.440367882124168,15.870336595661685,34.947826377055925,52.31842105086821
43,ANNECY,2022,114646903.0,24.66298411796349,207.58856925463897,154.0081992472425,174.44557563707744
44,MERIGNAC,2022,113561606.0,31.59885269116659,51.96533183996542,50.85471951468294,84.39255365981244
45,AVIGNON,2022,113246819.0,19.20008611698176,33.79265454740927,27.454143890327785,59.155150935179776
46,CRETEIL,2022,112018786.0,20.22352846314297,42.957139920632024,30.985909893392776,66.3691178738123
47,SAINT OUEN SUR SEINE,2022,111908211.0,105.74632699429264,105.74632699429264,105.74632699429264,105.74632699429264
48,ISSY LES MOULINEAUX,2022,107830165.0,30.13994675458287,63.74125835154306,63.74125835154306,90.95492208093052
49,CAEN,2022,107436343.0,15.751523872091807,21.09501141114744,31.960793241559564,36.695447101635345
50,RUEIL MALMAISON,2022,107241761.0,23.416534551919256,41.421254466370286,41.421254466370286,57.70901940189087
51,IVRY SUR SEINE,2022,104618089.0,30.424730995325305,42.27595669749033,42.27595669749033,92.40724732735346
