,mun_name,year,TH - INTERCOMMUNALITY / ACTUAL AMOUNT OF WHICH THP/E FOR THE BENEFIT OF THE STATE,yr_growth
6329,BIACHE-SAINT-VAAST,2011,274584.0,1208.6022017823952
12049,CHAMPNIERS,2011,591967.0,1208.5903132391627
54061,SAINT-JULIEN-SUR-CALONNE,2011,22797.0,1207.917383820998
17449,DETAIN-ET-BRUANT,2011,9596.0,1207.3569482288829
23737,GOUSSAINVILLE,2011,58902.0,1206.9003771910361
57331,SAINT-VICTOR-DES-OULES,2011,50829.0,1206.6580976863752
56489,SAINT-PROJET-DE-SALERS,2011,16792.0,1204.7397047397048
55935,SAINT-PAUL-DE-VARCES,2011,247902.0,1204.6100410483107
52757,SAINT-GEORGES-D'OLERON,2011,1098362.0,1204.0807361234788
30863,LAPS,2011,38909.0,1203.92091152815
18653,ECRETTEVILLE-SUR-MER,2011,6779.0,1203.6538461538462
8897,BRICQUEVILLE-LA-BLOUETTE,2011,41777.0,1203.4945397815911
34401,LIGNEYRAC,2011,21127.0,1203.3312769895126
9985,CAMBERNON,2011,35091.0,1202.5612472160356
57405,SAINT-VINCENT-DE-SALERS,2011,14705.0,1202.4800708591674
11963,CHAMPFLEURY,2011,56916.0,1202.127659574468
1325,ANGUERNY,2011,40074.0,1201.9493177387915
31065,LASSON,2011,32231.0,1201.7366720516964
64101,VARCES-ALLIERES-ET-RISSET,2011,696970.0,1201.50697465967
2123,ARRE,2011,42677.0,1200.731484303566
56035,SAINT-PERN,2011,69078.0,1200.1693958215697
41807,MURIANETTE,2011,91908.0,1199.053003533569
7359,BONNIERES,2011,60422.0,1198.0021482277123
8553,BREAU-ET-SALAGOSSE,2011,55322.0,1197.724607084213
46291,PLUMETOT,2011,14002.0,1197.6830398517145
51343,SAINT-BENIN-D'AZY,2011,185546.0,1195.0792210511622
55099,SAINT-MARTIN-EN-CAMPAGNE,2011,122409.0,1194.511421319797
60033,SEYSSINS,2011,975145.0,1193.2614519508766
58655,SASSENAGE,2011,1302363.0,1193.2070937760654
46513,POMMIERS,2011,265791.0,1191.940893403976
65709,VIF,2011,684059.0,1191.9205272998547
44709,PARISOT,2011,72064.0,1191.0068075958438
59979,SEVIGNY,2011,42938.0,1190.5921250375713
2067,ARPAILLARGUES-ET-AUREILLAC,2011,159807.0,1189.910404390992
65339,VEUREY-VOROIZE,2011,171091.0,1188.432863920476
43759,ORBAN,2011,15276.0,1188.026981450253
54883,SAINT-MARTIN-D'HERES,2011,2933643.0,1188.0243937777427
24139,GRENOBLE,2011,18202522.0,1186.900251476372
52017,SAINT-DENIS-D'OLERON,2011,496597.0,1186.5540558045545
15199,CORENC,2011,790168.0,1186.4576210478328
16325,CRESSERONS,2011,60965.0,1185.3679106051022
55167,SAINT-MARTIN-LE-VINOUX,2011,634415.0,1183.7471417875715
9987,CAMBES,2011,124745.0,1183.2527517745089
20485,FELLERIES,2011,94980.0,1183.1667116995407
33399,LES BRULAIS,2011,30744.0,1181.5339724885368
14697,COMBLESSAC,2011,44578.0,1180.9770114942528
32583,LE PONT-DE-CLAIX,2011,846603.0,1179.9585746035107
45585,PIERREFITTE-EN-AUGE,2011,19357.0,1179.3787177792465
38705,MEYLAN,2011,2920694.0,1178.264599171076
35209,LOSTANGES,2011,12358.0,1177.9731127197517
17785,DOMENE,2011,569609.0,1177.207498094085
21313,FONTANIL-CORNILLON,2011,333649.0,1176.4413328742492
52207,SAINT-EGREVE,2011,1719399.0,1176.0486552276911
31857,LE FAU,2011,8582.0,1175.1857355126301
4295,BARRIAC-LES-BOSQUETS,2011,15145.0,1174.8316498316499
65177,VERRICOURT,2011,1759.0,1174.6376811594203
56985,SAINT-SIFFRET,2011,217704.0,1173.5696735696736
47097,POUSSAY,2011,25851.0,1173.448275862069
1265,ANGLARDS-DE-SALERS,2011,74994.0,1173.0266508232899
59897,SERVIERS-ET-LABAUME,2011,80857.0,1172.5369845766445
18557,ECHIROLLES,2011,3481170.0,1172.455122651958
31711,LE CHATEAU-D'OLERON,2011,604865.0,1171.7667837093418
6275,BEZ-ET-ESPARON,2011,51253.0,1171.4710989828827
51723,SAINT-CHRISTOPHE-LE-JAJOLET,2011,20773.0,1170.519877675841
60031,SEYSSINET-PARISET,2011,1362318.0,1169.9068765905088
49253,RIORGES,2011,1652726.0,1169.5210661750586
40103,MONTCLUS,2011,36757.0,1169.2334254143648
14561,COLLONGES-LA-ROUGE,2011,57220.0,1168.7361419068736
22257,FRONSAC,2011,98494.0,1168.1086648641688
39873,MONTAREN-ET-SAINT-MEDIERS,2011,226706.0,1166.584725403654
48283,RAMOUSIES,2011,19155.0,1166.0277594183742
2913,AUMESSAS,2011,44428.0,1163.594994311718
8313,BOVEL,2011,38700.0,1163.0548302872062
16833,CUREMONTE,2011,25197.0,1163.0075187969926
21155,FONTAINE,2011,2066948.0,1161.9500580010988
13133,CHAUSSENAC,2011,27354.0,1161.7158671586715
55079,SAINT-MARTIN-DU-MONT,2011,151785.0,1161.0917248255234
51189,SAINT-AUBIN-SUR-MER,2011,393823.0,1160.6773584301675
23623,GOUCHAUPRE,2011,12274.0,1160.164271047228
40267,MONTFA,2011,23820.0,1158.3201267828842
61953,THIRAUCOURT,2011,2855.0,1157.7092511013216
53949,SAINT-JULIEN-DE-GRAS-CAPOU,2011,3458.0,1157.4545454545455
53427,SAINT-HIPPOLYTE-DE-MONTAIGU,2011,40876.0,1156.949569495695
25289,HEGENEY,2011,37265.0,1156.8296795952783
46401,POISAT,2011,247906.0,1155.7925130439187
32465,LE PEYRAT,2011,52015.0,1155.491189958967
869,AMBACOURT,2011,7193.0,1155.3228621291448
32933,LE VAULMIER,2011,16879.0,1154.9442379182158
56051,SAINT-PHILBERT-DES-CHAMPS,2011,42950.0,1154.747297692083
67977,WOERTH,2011,174683.0,1153.915727514177
36741,MARCHASTEL,2011,19865.0,1153.3123028391167
56535,SAINT-QUENTIN-LA-POTERIE,2011,445365.0,1153.0667942152945
46033,PLEUMELEUC,2011,299405.0,1152.4261691625534
57353,SAINT-VICTOR-SUR-OUCHE,2011,21882.0,1151.114922813036
6801,BLAUZAC,2011,155004.0,1150.133075248004
36529,MANGLIEU,2011,27447.0,1149.2944924897588
37723,MAUVEZIN,2011,236767.0,1147.7839262187088
2947,AUNOU-LE-FAUCON,2011,26525.0,1147.0615890926188
54839,SAINT-MARTIN-CANTALES,2011,22993.0,1146.9088937093275
22947,GERGUEIL,2011,8514.0,1146.5592972181553
6729,BLANDAS,2011,17837.0,1146.470999301188
36485,MANDAGOUT,2011,47672.0,1146.0010454783064
63575,UZES,2011,1368869.0,1145.8307546688993
54551,SAINT-LOYER-DES-CHAMPS,2011,31033.0,1145.8048976314733
1081,ANCEY,2011,26464.0,1144.7789275634996
2851,AULAS,2011,67021.0,1144.3557370961753
58387,SANILHAC-SAGRIES,2011,107681.0,1144.2916570372083
23449,GOERSDORF,2011,98370.0,1144.2448773083734
40955,MONTROND,2011,52727.0,1143.2680971468994
51451,SAINT-BONNET-DE-SALERS,2011,29786.0,1142.636629119733
39023,MIRECOURT,2011,153280.0,1141.2341080249412
20853,FLAUX,2011,70162.0,1141.146294003184
57275,SAINT-VALERIEN,2011,74865.0,1140.9249129786176
43913,ORLIENAS,2011,231241.0,1140.762998336642
50615,SAINS-DU-NORD,2011,175985.0,1140.6415227352838
24839,HALLERING,2011,4971.0,1139.6508728179551
39033,MIREPOIX,2011,352212.0,1139.0923482849605
39253,MOLIERES-CAVAILLAC,2011,126113.0,1138.5877037910036
8417,BRANCEILLES,2011,24556.0,1138.325769036813
47421,PREUSCHDORF,2011,83145.0,1137.8293881196964
27835,LA CHAPELLE-CHAUSSEE,2011,94368.0,1137.4508261211645
37879,MAZIROT,2011,5665.0,1136.8995633187772
45205,PERS,2011,34928.0,1136.3893805309735
27703,LA CAPELLE-ET-MASMOLENE,2011,69697.0,1135.981557013655
18137,DOURLERS,2011,48782.0,1135.6129685916922
56915,SAINT-SEGLIN,2011,33520.0,1135.0773765659544
26453,IZEL-LES-EQUERCHIN,2011,98069.0,1134.0380017616712
5749,BERNEVAL-LE-GRAND,2011,126680.0,1132.295719844358
47809,PUY-SAINT-GULMIER,2011,9747.0,1132.237673830594
42103,NAUJAN-ET-POSTIAC,2011,34482.0,1131.939978563773
30739,LANSAC,2011,47608.0,1131.7723156532988
47683,PUIMICHEL,2011,14362.0,1131.7324185248713
16435,CRIQUETOT-LE-MAUCONDUIT,2011,12177.0,1130.0
51353,SAINT-BENOIT-D'HEBERTOT,2011,25421.0,1129.8500241896468
17641,DIOU,2011,195882.0,1128.7165976665412
18023,DORANS,2011,44503.0,1128.6858089453342
66001,VILLE-LANGY,2011,35456.0,1128.5516285516285
42549,NEUVIREUIL,2011,54497.0,1128.516681695221
50549,SAI,2011,21637.0,1127.2830402722632
4337,BAS-LIEU,2011,33846.0,1125.860195581311
31093,LATOUR-BAS-ELNE,2011,300732.0,1125.4268367222198
5111,BEDEE,2011,401448.0,1124.5615105389988
58379,SANGATTE,2011,520236.0,1124.171117961268
5381,BELLOC,2011,5324.0,1123.9080459770114
46887,PORT-SUR-SAONE,2011,279995.0,1123.6474084433178
21329,FONTENAI-SUR-ORNE,2011,25605.0,1123.3635929288105
1353,ANLEZY,2011,31851.0,1123.1566820276498
47179,PRADETTES,2011,4733.0,1122.9974160206718
23263,GIRGOLS,2011,7270.0,1121.8487394957983
287,AIGALIERS,2011,80864.0,1121.5105740181268
2081,ARPHY,2011,20734.0,1121.0836277974088
67343,VOINGT,2011,4260.0,1120.6303724928366
59963,SEVENANS,2011,66540.0,1120.4695524578137
33343,LES AUTHIEUX-SUR-CALONNE,2011,33318.0,1119.099890230516
35875,MABLY,2011,971556.0,1116.6044729394675
62617,TOURTROL,2011,21390.0,1116.0318362706082
33249,LERAN,2011,70880.0,1114.3224259037177
52375,SAINT-ETIENNE-LA-THILLAYE,2011,48463.0,1113.0913642052565
21307,FONTANGES,2011,27783.0,1112.7018769096464
66489,VILLEREST,2011,809360.0,1111.7981733792483
16673,CUBRY-LES-FAVERNEY,2011,8623.0,1111.0955056179776
25239,HAVELU,2011,9928.0,1110.7317073170732
8357,BRACQUEMONT,2011,72659.0,1110.5798067310895
17839,DOMMARTIN,2011,324100.0,1110.141139571354
40129,MONTDARDIER,2011,34462.0,1108.7688530340233
50341,RUHANS,2011,10043.0,1108.5439229843562
22209,FROESCHWILLER,2011,45712.0,1108.3531588686228
25357,HEMILLY,2011,5667.0,1108.315565031983
38425,MERSUAY,2011,18726.0,1106.5721649484535
4915,BEAUMONT-SARDOLLES,2011,18675.0,1106.3953488372092
16191,CRAS,2011,35164.0,1103.8343033207805
43731,OPPY,2011,40053.0,1103.515625
39847,MONTAMISE,2011,361973.0,1102.4083178315173
15491,COUDRAY-RABUT,2011,22749.0,1102.3784355179703
50055,ROUMENGOUX,2011,17712.0,1101.6282225237449
36787,MARCILLAC-LA-CROZE,2011,19368.0,1101.4888337468983
587,ALENYA,2011,428596.0,1100.5153917257219
53515,SAINT-JEAN-AUX-AMOGNES,2011,60520.0,1099.6035678889991
54555,SAINT-LUBIN-DE-LA-HAYE,2011,74100.0,1096.5121911835943
29489,LA VACQUERIE,2011,13963.0,1096.4867180805484
33605,LES IFFS,2011,21458.0,1096.0981047937569
34535,LIMPIVILLE,2011,19711.0,1096.0558252427184
1105,ANCRETTEVILLE-SUR-MER,2011,14908.0,1095.5092221331195
18791,ELETOT,2011,33576.0,1094.8754448398577
3577,AZERAT,2011,26952.0,1094.6808510638298
50867,SAINT-ANDRE-D'HEBERTOT,2011,36053.0,1094.2033786021861
48603,REGAT,2011,10445.0,1093.7142857142858
12395,CHARGEY-LES-PORT,2011,17507.0,1092.574931880109
24057,GRATTERY,2011,15654.0,1092.2315308453924
36843,MARCK,2011,1072379.0,1091.8103112948577
57899,SAINTE-MARIE-SUR-OUCHE,2011,61978.0,1089.8253023612976
3359,AVESNELLES,2011,276000.0,1089.6038963837766
2099,ARRAINCOURT,2011,4972.0,1089.4736842105265
44783,PASQUES,2011,31577.0,1088.4456153556644
49765,ROQUEDUR,2011,19193.0,1088.421052631579
33915,LES VOIVRES,2011,21818.0,1088.3442265795206
38851,MIGNALOUX-BEAUVOIR,2011,588837.0,1088.2733987165516
23307,GISSEY-SUR-OUCHE,2011,26671.0,1088.0178173719376
44385,PABU,2011,418794.0,1087.0914708466794
46113,PLONEOUR-LANVERN,2011,709702.0,1086.673577901883
831,ALZON,2011,32954.0,1084.9694354548724
21211,FONTAINE-LE-COMTE,2011,431567.0,1081.8572680468837
30585,LANGAN,2011,73279.0,1081.1573178594456
28147,LA CHAUSSEE,2011,28507.0,1080.9030654515327
1973,ARLEUX-EN-GOHELLE,2011,88127.0,1080.693997856377
48563,RECOURT,2011,21579.0,1080.4704595185995
61885,THIERGEVILLE,2011,22064.0,1079.8930481283423
62621,TOURVILLE-EN-AUGE,2011,23582.0,1079.6898449224611
64603,VELARS-SUR-OUCHE,2011,255766.0,1079.678059130114
32227,LE MESNIL-AUZOUF,2011,14059.0,1079.4463087248323
34913,LOMBARD,2011,22486.0,1078.511530398323
26107,IFFENDIC,2011,340962.0,1077.3956283020823
21059,FLOURSIES,2011,10419.0,1077.2881355932202
36287,MALAIN,2011,75941.0,1077.197333746706
39159,MOINEVILLE,2011,127442.0,1076.967122275582
61901,THIETREVILLE,2011,17143.0,1076.595744680851
40175,MONTEL-DE-GELAT,2011,37436.0,1076.492771841609
16575,CROUTELLE,2011,102118.0,1076.2036397143515
43243,NOYELLES-SOUS-BELLONNE,2011,70392.0,1075.3548171648022
56479,SAINT-PRIVAT-LA-MONTAGNE,2011,167489.0,1074.1254819488258
58707,SAUDEMONT,2011,36427.0,1073.5502577319587
38217,MENOUX,2011,16814.0,1073.3426378227496
54929,SAINT-MARTIN-DE-COMMUNE,2011,7873.0,1073.3233979135618
215,AGEY,2011,19277.0,1073.2805842970176
20937,FLEUREY-SUR-OUCHE,2011,125019.0,1072.6761091830035
67497,VOUNEUIL-SOUS-BIARD,2011,552449.0,1071.7833962584314
64273,VAUCHOUX,2011,9479.0,1071.6934487021015
18345,DUN,2011,52620.0,1070.894526034713
25039,HARSAULT,2011,28710.0,1069.9266503667482
22081,FRESNOY-EN-GOHELLE,2011,33170.0,1069.1928093056044
20621,FERTREVE,2011,19957.0,1069.1271236086702
58661,SASSETOT-LE-MAUCONDUIT,2011,143315.0,1069.0594665143976
2941,AUNAY-SUR-ODON,2011,182044.0,1067.9969203131016
20549,FERNOEL,2011,10978.0,1067.8723404255318
53577,SAINT-JEAN-DE-BOEUF,2011,7551.0,1067.078825347759
51539,SAINT-BRIEUC-DES-IFFS,2011,25125.0,1066.4345403899722
35195,LORRY-LES-METZ,2011,256072.0,1066.2962288212789
56537,SAINT-QUENTIN-LA-TOUR,2011,33940.0,1065.9223634489865
46213,PLOUMAGOAR,2011,669836.0,1065.3375086986778
47763,PURGEROT,2011,22905.0,1065.0559511698882
20359,FAVERNEY,2011,79903.0,1063.918426802622
66187,VILLEGATS,2011,27386.0,1063.8759031024226
49549,ROGUES,2011,11649.0,1063.7362637362637
15099,COQUELLES,2011,269995.0,1062.9194124994615
61471,TAVERNAY,2011,62970.0,1062.6661742983752
65645,VIEUX-BOURG,2011,8430.0,1061.1570247933882
26291,IRODOUER,2011,139078.0,1061.0151097754404
24127,GRENANT-LES-SOMBERNON,2011,11667.0,1060.8955223880598
1243,ANGERVILLE-LA-MARTEL,2011,45405.0,1060.659509202454
42413,NEUNKIRCHEN-LES-BOUZONVILLE,2011,30003.0,1060.2088167053364
5389,BELLONNE,2011,23801.0,1059.3278129566488
42291,NEUF-EGLISE,2011,23232.0,1059.2814371257487
17407,DERCHIGNY,2011,28099.0,1059.1996699669967
61793,THEROULDEVILLE,2011,25241.0,1058.9072543618
62647,TOUSSAINT,2011,40845.0,1058.3947816222349
59445,SEMERIES,2011,44515.0,1057.436297451898
59639,SEPT-VENTS,2011,18854.0,1057.3971761817068
67033,VINNEMERVILLE,2011,14721.0,1057.311320754717
35439,LOUVIGNY,2011,220056.0,1056.7891499763443
57747,SAINTE-GEMME,2011,174731.0,1056.4696538486994
25821,HONTANX,2011,31844.0,1055.8620689655172
61245,TALENSAC,2011,174225.0,1055.7213930348257
24601,GUILMECOURT,2011,14931.0,1055.6501547987616
24357,GRUEY-LES-SURANCE,2011,20947.0,1055.3778268063984
44897,PAYZAC,2011,132051.0,1055.3018372703414
9679,BUXEROLLES,2011,1437393.0,1055.117047180501
9739,CABARA,2011,30193.0,1055.0497322111705
2183,ARS-LAQUENEXY,2011,95353.0,1054.8140971297082
3183,AUTUN,2011,1856683.0,1053.993362006812
48741,REMILLY-EN-MONTAGNE,2011,9900.0,1053.8461538461538
52749,SAINT-GEORGES-D'AUNAY,2011,37600.0,1053.7281374654801
38081,MENAT,2011,51311.0,1053.3153517644414
62625,TOURVILLE-LA-CHAPELLE,2011,30453.0,1053.085952290799
34519,LIMON,2011,16016.0,1053.0597552195823
27567,LA BIGNE,2011,9415.0,1052.3867809057529
25789,HOMECOURT,2011,687868.0,1052.3814310365046
48045,QUIERY-LA-MOTTE,2011,79978.0,1051.9227999423879
57775,SAINTE-HELENE-BONDEVILLE,2011,37224.0,1051.7326732673266
12603,CHASSENEUIL-DU-POITOU,2011,545736.0,1051.463234518409
18901,ENGLESQUEVILLE-EN-AUGE,2011,18974.0,1051.3349514563106
38857,MIGNE-AUXANCES,2011,633621.0,1051.2846137073914
44995,PELVES,2011,61708.0,1050.8392390898919
15071,CONTREMOULINS,2011,13406.0,1050.7296137339056
6739,BLANGY-LE-CHATEAU,2011,58595.0,1050.5006872177498
22301,FROZES,2011,39919.0,1050.4034582132565
36597,MANSES,2011,12411.0,1050.2316960148285
50583,SAILLY-EN-OSTREVENT,2011,64329.0,1050.169855176113
31597,LE BREUIL-EN-AUGE,2011,68308.0,1050.1599595891564
53219,SAINT-GONLAY,2011,24489.0,1049.718309859155
54305,SAINT-LAURENT-LE-MINIER,2011,52871.0,1048.870056497175
27795,LA CHAPELLE-AUX-BOIS,2011,54647.0,1048.7702333403404
50671,SAINT-AGATHON,2011,237782.0,1048.5388591025455
23653,GOUHENANS,2011,28005.0,1047.7459016393443
31769,LE CLERJUS,2011,54311.0,1047.496302556518
24209,GREZILLAC,2011,38730.0,1047.2156398104266
48077,QUINCAY,2011,201559.0,1046.6549095460234
14533,COLLEVILLE,2011,37992.0,1046.0633484162895
17203,DANVOU-LA-FERRIERE,2011,9565.0,1045.5089820359283
23015,GERPONVILLE,2011,18035.0,1045.079365079365
22047,FRESNES-LES-MONTAUBAN,2011,49257.0,1044.979079497908
29009,LA NOUAYE,2011,16200.0,1044.8763250883392
1029,AMONCOURT,2011,20470.0,1044.854586129754
25213,HAUTMOUGEY,2011,15501.0,1043.9852398523985
8559,BREBIERES,2011,436207.0,1043.3997378768022
53911,SAINT-JULIEN,2011,699509.0,1043.1006307807954
50349,RUILLE-SUR-LOIR,2011,109304.0,1042.6301484424002
1535,ANTULLY,2011,86141.0,1042.605120042446
34397,LIGNEROLLES,2011,125656.0,1041.2897366030882
15627,COULVAIN,2011,16135.0,1041.0891089108911
34485,LIMBRASSAC,2011,9580.0,1040.4761904761906
2241,ARTHEZ-D'ARMAGNAC,2011,9130.0,1039.825218476904
23793,GOUY-SOUS-BELLONNE,2011,130221.0,1039.3910228366437
14579,COLMEN,2011,14242.0,1039.36
8213,BOUTIGNY-PROUAIS,2011,151322.0,1038.9583019720005
36557,MANNEVILLE-LA-PIPARD,2011,32341.0,1038.3667722632874
15575,COULOGNE,2011,636269.0,1038.043964299129
3799,BAILLY-LE-FRANC,2011,1866.0,1037.8048780487807
9831,CAGNY,2011,299387.0,1037.791205867822
60641,SOUCIEU-EN-JARREST,2011,346790.0,1037.65049371781
45153,PERQUIE,2011,18464.0,1037.6463339494762
49515,ROEUX,2011,103073.0,1037.4199955859633
68109,YPREVILLE-BIVILLE,2011,23837.0,1037.2614503816794
25131,HAUT-LIEU,2011,29451.0,1037.1042471042472
8907,BRIE,2011,461273.0,1036.980527483362
26729,JOEUF,2011,698484.0,1036.7814595403945
56249,SAINT-PIERRE-DU-FRESNE,2011,8503.0,1036.764705882353
4127,BARBIREY-SUR-OUCHE,2011,16345.0,1036.6481223922115
31309,LAVAUSSEAU,2011,52906.0,1036.2972508591065
16927,CUVERVILLE,2011,110285.0,1036.1388688575255
529,ALBAS,2011,66350.0,1036.1301369863013
28741,LA LANDE-SUR-DROME,2011,3052.0,1034.5724907063197
6919,BLOT-L'EGLISE,2011,29837.0,1034.4866920152092
23387,GLANVILLE,2011,25060.0,1034.4499773653235
37013,MARIEULLES,2011,61805.0,1034.2448155624884
51119,SAINT-AUBIN-DES-BOIS,2011,94472.0,1033.9815148241507
50841,SAINT-ANDEOL,2011,18366.0,1033.7037037037037
14631,COLOMBIERS,2011,341514.0,1033.3554574718746
67171,VISSEC,2011,5471.0,1032.7122153209111
23411,GLICOURT,2011,11359.0,1031.3745019920318
34223,LHOMME,2011,82841.0,1030.7807807807808
21407,FONTENOY-LE-CHATEAU,2011,54645.0,1030.1964839710445
48711,REMELFANG,2011,9272.0,1029.3544457978076
56273,SAINT-PIERRE-EN-PORT,2011,104541.0,1029.0744140835943
31861,LE FAULQ,2011,20453.0,1028.7527593818984
58779,SAULNY,2011,201971.0,1027.8255528255527
59881,SERVANT,2011,42014.0,1027.589908749329
62965,TREMONZEY,2011,19200.0,1026.7605633802816
40493,MONTIGNY-AUX-AMOGNES,2011,86610.0,1025.6823498830258
60411,SOMMANT,2011,31016.0,1025.399129172714
64535,VAYRES,2011,244328.0,1025.3650223389066
42313,NEUFFONS,2011,7527.0,1025.1121076233185
20851,FLAUMONT-WAUDRECHIES,2011,25336.0,1025.044404973357
30869,LAQUENEXY,2011,102230.0,1025.0137559150435
53443,SAINT-HYMER,2011,57274.0,1025.004910626596
10411,CARDROC,2011,36940.0,1024.5053272450532
3379,AVESNES-SUR-HELPE,2011,379045.0,1023.6289796644336
11489,CHAHAIGNES,2011,78791.0,1022.5388231941872
27981,LA CHAPELLE-MONTREUIL,2011,39723.0,1022.1186440677966
8563,BRECE,2011,239914.0,1021.6175783076204
46263,PLOVAN,2011,101471.0,1021.4743589743589
2957,AUQUEMESNIL,2011,14043.0,1020.7501995211493
3291,AVAILLES-SUR-SEICHE,2011,40574.0,1019.5916114790286
829,ALZING,2011,29598.0,1019.4402420574887
9833,CAHAGNES,2011,59529.0,1019.3869875893192
23999,GRANGE-DE-VAIVRE,2011,4398.0,1019.0839694656489
34671,LISSEUIL,2011,6754.0,1018.2119205298013
36347,MALEGOUDE,2011,4148.0,1018.0592991913746
23101,GIAT,2011,79735.0,1017.8326090004205
28617,LA GUERCHE-DE-BRETAGNE,2011,445482.0,1017.728823765556
13183,CHAUX-LES-PORT,2011,10380.0,1017.330462863294
29167,LA RIXOUSE,2011,25695.0,1017.1739130434781
30971,LAROUILLIES,2011,21084.0,1016.7372881355933
42989,NOROLLES,2011,21202.0,1016.4823591363876
7357,BONNEVILLE-SUR-TOUQUES,2011,47667.0,1016.0618122219621
49327,RIVILLE,2011,18090.0,1015.9777914867366
13411,CHENE-ARNOULT,2011,15900.0,1015.7894736842104
51921,SAINT-CRICQ-VILLENEUVE,2011,27154.0,1015.6121610517667
27029,JURQUES,2011,31156.0,1015.5030433225922
1427,ANOST,2011,129564.0,1015.3925619834711
25317,HEINING-LES-BOUZONVILLE,2011,37898.0,1015.3031194820481
11701,CHAMBEUGLE,2011,5933.0,1015.2255639097743
45011,PENLY,2011,15543.0,1014.9928263988522
5497,BENASSAY,2011,52665.0,1014.3673296656793
23973,GRANDRUPT-DE-BAINS,2011,4564.0,1013.170731707317
45573,PIERRECOURT,2011,10072.0,1011.6997792494482
13361,CHEMERY-LES-DEUX,2011,29751.0,1010.9410007468259
17011,DALSTEIN,2011,19574.0,1010.8967082860387
21947,FREISTROFF,2011,66383.0,1010.8266398929051
45921,PLAPPEVILLE,2011,355573.0,1010.6450101514914
25371,HENDECOURT-LES-CAGNICOURT,2011,21984.0,1010.3030303030304
9279,BRUNVILLE,2011,11566.0,1009.9808061420346
11885,CHAMPAGNEY,2011,422022.0,1009.3289172778173
20315,FAULX,2011,103179.0,1009.2130724575361
52613,SAINT-GAL-SUR-SIOULE,2011,13398.0,1009.1059602649005
3535,AYRON,2011,89713.0,1007.9782635544028
19329,ESCAMPS,2011,73710.0,1007.7547339945896
24623,GUINGAMP,2011,990963.0,1006.7266026356937
20723,FIERVILLE-LES-PARCS,2011,18180.0,1006.5124771758977
7827,BOULOGNE-SUR-HELPE,2011,22762.0,1004.4153323629306
3811,BAINS-LES-BAINS,2011,138438.0,1004.1473919285373
62707,TRALAIGUES,2011,4372.0,1004.0404040404039
55215,SAINT-MARTIN-SUR-OUANNE,2011,47591.0,1003.9434006031083
17547,DIENNES-AUBIGNY,2011,16930.0,1003.6505867014341
18581,ECLEUX,2011,21023.0,1003.5695538057743
61807,THEUVILLE-AUX-MAILLOTS,2011,24245.0,1003.5502958579881
18319,DUCOS,2011,1125013.0,1003.1918649120399
58055,SAIZERAIS,2011,147727.0,1001.7825178997614
46267,PLOZEVET,2011,485379.0,1001.681873893504
46209,PLOUISY,2011,205013.0,1001.5097786374381
41229,MORNANT,2011,410475.0,1001.2072434607646
58499,SAPOIS,2011,69587.0,1001.0601265822786
13789,CHIRE-EN-MONTREUIL,2011,63749.0,1001.0189982728842
28123,LA CHARTRE-SUR-LE-LOIR,2011,165804.0,1000.9561752988049
32687,LE ROCHEREAU,2011,52368.0,1000.8618877443768
54831,SAINT-MARTIN-AUX-CHARTRAINS,2011,37616.0,1000.8486976880304
32299,LE MESNIL-SUR-BLANGY,2011,23810.0,1000.7859454461396
20931,FLEUREY-LES-FAVERNEY,2011,27374.0,1000.6835544833132
14755,COMMELLE-VERNAY,2011,441381.0,1000.6732999177078
4501,BAULAY,2011,19499.0,1000.3950338600453
2831,AUGNY,2011,215734.0,1000.2907125006376
10925,CAUMONT-L'EVENTE,2011,53313.0,999.4638069705094
54035,SAINT-JULIEN-LES-METZ,2011,415363.0,999.4547235236506
54177,SAINT-LAURENT-D'AGNY,2011,181374.0,999.3029880598824
4983,BEAUREPAIRE,2011,426787.0,998.890262114424
41479,MOULINS-LES-METZ,2011,663812.0,998.3900057913461
64333,VAUDRECHING,2011,36707.0,998.3542788749253
6503,BILLY-CHEVANNES,2011,42330.0,997.7697095435685
13795,CHIROLS,2011,26730.0,997.741273100616
59245,SCY-CHAZELLES,2011,433723.0,996.3952577163225
11567,CHALANDRAY,2011,49483.0,996.2117855560479
32849,LE TORQUESNE,2011,27792.0,995.8990536277602
45235,PESEUX,2011,31412.0,994.4947735191638
42897,NOISSEVILLE,2011,111026.0,994.3913257762445
60577,SORQUAINVILLE,2011,7648.0,994.134477825465
66613,VILLERS-LES-CAGNICOURT,2011,18741.0,993.4072345390898
61963,THIVARS,2011,40929.0,993.1891025641025
3901,BALIGNICOURT,2011,2830.0,992.6640926640927
29925,LACQUY,2011,14331.0,992.3018292682927
27729,LA CELLE-EN-MORVAN,2011,54246.0,991.6884685047294
12849,CHATEL-SAINT-GERMAIN,2011,224203.0,991.3839263982866
46247,PLOUVAIN,2011,41340.0,991.3410770855332
31783,LE COTEAU,2011,943126.0,991.0758907913003
53717,SAINT-JEAN-DES-ESSARTIERS,2011,8117.0,990.994623655914
20953,FLEURY,2011,1592151.0,990.9851511268562
4879,BEAUMONT-EN-AUGE,2011,43070.0,990.6558622436061
32925,LE VAUCLIN,2011,713498.0,990.4919836769627
47139,POUZOL,2011,17764.0,990.4849600982197
62041,THONVILLE,2011,1374.0,990.4761904761905
855,AMANVILLERS,2011,214438.0,990.2333621434744
