,mun_name,year,TH - INTERCOMMUNALITY / ACTUAL AMOUNT OF WHICH THP/E FOR THE BENEFIT OF THE STATE,yr_growth
43745,ORADOUR-SUR-VAYRES,2011,144935.0,12658.362676056338
6437,BIEVRES,2011,599157.0,12648.021276595744
65117,VERNON,2011,1799649.0,12521.144540290343
45029,PENSOL,2011,18084.0,12371.724137931034
27969,LA CHAPELLE-MONTBRANDEIX,2011,26367.0,12337.264150943396
11487,CHAGNY,2011,455465.0,12058.702616123865
3097,AUTHON,2011,55997.0,12046.854663774404
51319,SAINT-BAZILE,2011,10072.0,12034.939759036144
51027,SAINT-APOLLINAIRE,2011,799573.0,11738.510512289015
26883,JOUY,2011,209066.0,11651.883080382237
55029,SAINT-MARTIN-DES-CHAMPS,2011,1041351.0,11335.877443443882
5067,BEAUVOISIN,2011,453169.0,11329.23076923077
62369,TORCY-LE-PETIT,2011,25466.0,10924.242424242424
11721,CHAMBOEUF,2011,214462.0,10858.712314767501
3765,BAILLEUL,2011,1095878.0,10737.401107594937
15143,CORBIERES,2011,70279.0,10678.98773006135
54087,SAINT-JUST,2011,767852.0,10654.22969187675
34391,LIGNE,2011,200994.0,10506.543535620052
58051,SAIX,2011,399804.0,10496.448449509675
30619,LANGON,2011,665247.0,10394.510175106483
48265,RAMECOURT,2011,30083.0,10345.486111111111
53411,SAINT-HILAIRE-SUR-PUISEAUX,2011,12634.0,10171.544715447155
28257,LA COUTURE,2011,274556.0,10087.60667903525
51905,SAINT-CREPIN-DE-RICHEMONT,2011,22978.0,10067.25663716814
41093,MORANGIS,2011,1940528.0,9950.383260824528
5003,BEAUSSAC,2011,15314.0,9909.150326797386
39815,MONTAIGUT-LE-BLANC,2011,81978.0,9836.727272727274
57645,SAINTE-CROIX-DE-MAREUIL,2011,11486.0,9717.094017094018
39617,MONSEC,2011,14931.0,9658.823529411766
29219,LA ROCHEBEAUCOURT-ET-ARGENTINE,2011,31017.0,9623.19749216301
65541,VIEILLES-MAISONS-SUR-JOUDRY,2011,45978.0,9600.0
20575,FERRIERE-ET-LAFOLIE,2011,2998.0,9570.967741935483
56027,SAINT-PERE,2011,355780.0,9562.683324280282
33573,LES GRAULGES,2011,7233.0,9417.105263157895
11525,CHAILLY-EN-GATINAIS,2011,53437.0,9391.474245115453
50297,RUDEAU-LADOSSE,2011,11645.0,9367.479674796748
